Station;depth 
G0365;20
M0876;20
Z0508;20
L0736;50
L0731;100
L0766;100
P1062;100
O0969;150
G0349;200
H0400;200
H0425;200
H0467;200
M0862;200
L0752;300
O0959;300
H0411;350
Z0492;370
A1497;500
G0344;500
H0419;500
H0431;500
L0742;500
L0761;500
M0855;500
M0881;500
M0892;500
W0568;513
U0508;551
Z0512;555
U0536;593
O0983;600
X0453;670
X0447;683
W0562;685
Z0503;715
U0530;735
U0514;736
V0494;746
W0534;750
X0476;754
X0458;756
X0464;785
X0470;786
O0964;800
O0995;800
U0541;809
U0524;833
W0545;847
U0519;861
A1508;1000
G0370;1000
G0380;1000
P1048;1000
Z0518;1000
Z0524;1010
P1067;1300
P1072;1300
Z0497;1335
A1513;1400
G0399;1400
M0887;1500
P1053;1500
L0747;1600
O0978;1600
G0354;2000
W0551;2000
