trait_name;trait_type
eye_size;Q
orbital_length;Q
oral_gap_surface;Q
oral_gape_shape;Q
oral_gape_position;Q
lower_jaw_length;Q
operculum_width;Q
head_length;Q
body_depth;Q
pectoral_fin_position;Q
pectoral_fin_insertion;Q
transversal_shape;Q
caudal_peduncle_min_depth;Q
dorsal_fin_insertion;Q
eye_position;Q
operculum_volume;Q
photophores_ventral_position;N
gland_head;N
chin_barbel;N
front_barbel;N
small_teeth;N
large_teeth;N
fang_teeth;N
retractile_teeth;N
internal_teeth;N
gill_raker_types;O
oral_gape_axis;O
